Date,average_sum
5/31/2018,0.115303426
6/1/2018,0.115344492
6/4/2018,0.1155241
6/5/2018,0.115171729
6/6/2018,0.115392767
6/7/2018,0.115119385
6/8/2018,0.11554884
6/11/2018,0.115133429
6/12/2018,0.114847263
6/13/2018,0.115053622
6/14/2018,0.114051216
6/15/2018,0.113272732
6/18/2018,0.113292951
6/19/2018,0.112588252
6/20/2018,0.112394209
6/21/2018,0.112361587
6/22/2018,0.11265889
6/25/2018,0.112433654
6/26/2018,0.112243247
6/27/2018,0.111938972
6/28/2018,0.11256108
6/29/2018,0.113391991
7/2/2018,0.112913014
7/3/2018,0.11332587
7/4/2018,0.113294577
7/5/2018,0.113347755
7/6/2018,0.113767522
7/9/2018,0.113595448
7/10/2018,0.113613905
7/11/2018,0.112793493
7/12/2018,0.113211348
7/13/2018,0.113138997
7/16/2018,0.113325554
7/17/2018,0.112900256
7/18/2018,0.113007573
7/19/2018,0.112192187
7/20/2018,0.113135759
7/23/2018,0.11292065
7/24/2018,0.113087047
7/25/2018,0.113978253
7/26/2018,0.113699174
7/27/2018,0.113853527
7/30/2018,0.113972104
7/31/2018,0.114179432
8/1/2018,0.114184322
8/2/2018,0.114013113
8/3/2018,0.114311896
8/6/2018,0.114150563
8/7/2018,0.11380109
8/8/2018,0.114003211
8/9/2018,0.113783335
8/10/2018,0.11295559
8/13/2018,0.112913729
8/14/2018,0.113528793
8/15/2018,0.112786354
8/16/2018,0.112775484
8/17/2018,0.113476974
8/20/2018,0.11357905
8/21/2018,0.11363278
8/22/2018,0.113933726
8/23/2018,0.113187209
8/24/2018,0.113688706
8/27/2018,0.114171468
8/28/2018,0.114411706
8/29/2018,0.114535326
8/30/2018,0.113786592
8/31/2018,0.113434965
9/3/2018,0.112967254
9/4/2018,0.112191478
9/5/2018,0.112316539
9/6/2018,0.112631938
9/7/2018,0.112509986
9/10/2018,0.112397866
9/11/2018,0.113058023
9/12/2018,0.113611125
9/13/2018,0.11358487
9/14/2018,0.113294909
9/17/2018,0.113239583
9/18/2018,0.113747753
9/19/2018,0.114252126
9/20/2018,0.114401525
9/21/2018,0.114319589
9/24/2018,0.113970449
9/25/2018,0.113970298
9/26/2018,0.113466014
9/27/2018,0.11326456
9/28/2018,0.114298168
10/1/2018,0.115070377
10/2/2018,0.115048362
10/3/2018,0.114705332
10/4/2018,0.114262202
10/5/2018,0.114198477
10/8/2018,0.113924488
10/9/2018,0.114116344
10/10/2018,0.113169336
10/11/2018,0.113513951
10/12/2018,0.113529212
10/15/2018,0.113790954
10/16/2018,0.114273237
10/17/2018,0.113619552
10/18/2018,0.113059002
10/19/2018,0.112982823
10/22/2018,0.112958641
10/23/2018,0.113092142
10/24/2018,0.113285824
10/25/2018,0.113172345
10/26/2018,0.112939809
10/29/2018,0.112658137
10/30/2018,0.112871377
10/31/2018,0.112495115
11/1/2018,0.113106183
11/2/2018,0.113014643
11/5/2018,0.112923701
11/6/2018,0.112809192
11/7/2018,0.112926925
11/8/2018,0.112595205
11/9/2018,0.112140458
11/12/2018,0.111832671
11/13/2018,0.111899338
11/14/2018,0.111905232
11/15/2018,0.112379257
11/16/2018,0.112645122
11/19/2018,0.112453593
11/20/2018,0.111450057
11/21/2018,0.112004534
11/22/2018,0.112309414
11/23/2018,0.11190368
11/26/2018,0.111710046
11/27/2018,0.111425228
11/28/2018,0.111579948
11/29/2018,0.111577058
11/30/2018,0.111452617
12/3/2018,0.112307295
12/4/2018,0.111873352
12/5/2018,0.111153864
12/6/2018,0.110912467
12/7/2018,0.111341452
12/10/2018,0.110704668
12/11/2018,0.110767121
12/12/2018,0.111118743
12/13/2018,0.111092525
12/14/2018,0.110794857
12/17/2018,0.110672615
12/18/2018,0.110261423
12/19/2018,0.110137076
12/20/2018,0.110020106
12/21/2018,0.109312043
12/24/2018,0.109281158
12/25/2018,0.109411062
12/26/2018,0.10951928
12/27/2018,0.109247003
12/28/2018,0.109101125
12/31/2018,0.10911763
1/1/2019,0.113602631
1/2/2019,0.114117372
1/3/2019,0.114791927
1/4/2019,0.115705776
1/7/2019,0.116299001
1/8/2019,0.116486646
1/9/2019,0.117059116
1/10/2019,0.116869446
1/11/2019,0.11667613
1/14/2019,0.116513913
1/15/2019,0.116667386
1/16/2019,0.116736478
1/17/2019,0.116525899
1/18/2019,0.116660005
1/21/2019,0.116373057
1/22/2019,0.115847534
1/23/2019,0.116007032
1/24/2019,0.115943877
1/25/2019,0.117017383
1/28/2019,0.116669806
1/29/2019,0.116676735
1/30/2019,0.117652603
1/31/2019,0.117906941
2/1/2019,0.118020244
2/4/2019,0.117921914
2/5/2019,0.117804197
2/6/2019,0.117086722
2/7/2019,0.116343664
2/8/2019,0.116570681
2/11/2019,0.116285618
2/12/2019,0.116871899
2/13/2019,0.116713489
2/14/2019,0.11640292
2/15/2019,0.116793941
2/18/2019,0.116817804
2/19/2019,0.117081875
2/20/2019,0.117383321
2/21/2019,0.116918566
2/22/2019,0.117694259
2/25/2019,0.117305526
2/26/2019,0.117465221
2/27/2019,0.117595551
2/28/2019,0.117479371
3/1/2019,0.116435143
3/4/2019,0.116373429
3/5/2019,0.116048929
3/6/2019,0.11527675
3/7/2019,0.115137982
3/8/2019,0.1154493
3/11/2019,0.115642967
3/12/2019,0.115970114
3/13/2019,0.11633686
3/14/2019,0.116089686
3/15/2019,0.116128271
3/18/2019,0.116156636
3/19/2019,0.116254636
3/20/2019,0.116410824
3/21/2019,0.115968178
3/22/2019,0.115334044
3/25/2019,0.11557676
3/26/2019,0.115699553
3/27/2019,0.115391385
3/28/2019,0.115221267
3/29/2019,0.115950822
4/1/2019,0.116291992
4/2/2019,0.11605604
4/3/2019,0.116009411
4/4/2019,0.1158764
4/5/2019,0.115673567
4/8/2019,0.116216206
4/9/2019,0.116113974
4/10/2019,0.116191272
4/11/2019,0.115680896
4/12/2019,0.116182133
4/15/2019,0.115860459
4/16/2019,0.115927326
4/17/2019,0.116027765
4/18/2019,0.115734253
4/19/2019,0.115618502
4/22/2019,0.115958419
4/23/2019,0.115335305
4/24/2019,0.114776438
4/25/2019,0.114798949
4/26/2019,0.115056064
4/29/2019,0.11503334
4/30/2019,0.115573239
5/1/2019,0.115165471
5/2/2019,0.114896133
5/3/2019,0.115336777
5/6/2019,0.115058492
5/7/2019,0.114833689
5/8/2019,0.114811593
5/9/2019,0.114738232
5/10/2019,0.115236599
5/13/2019,0.114645794
5/14/2019,0.114786137
5/15/2019,0.114946892
5/16/2019,0.114758198
5/17/2019,0.114694781
5/20/2019,0.114935368
5/21/2019,0.115133556
5/22/2019,0.114951659
5/23/2019,0.114618771
5/24/2019,0.11492158
5/27/2019,0.114872955
5/28/2019,0.11449638
5/29/2019,0.114297423
5/30/2019,0.114467191
5/31/2019,0.114393085
6/3/2019,0.115010947
6/4/2019,0.115356893
6/5/2019,0.115161663
6/6/2019,0.115563268
6/7/2019,0.116294629
6/10/2019,0.116265283
6/11/2019,0.116204779
6/12/2019,0.115720935
6/13/2019,0.115856159
6/14/2019,0.115147262
6/17/2019,0.115150749
6/18/2019,0.115481088
6/19/2019,0.116241064
6/20/2019,0.117008042
6/21/2019,0.116747967
6/24/2019,0.117091034
6/25/2019,0.117152382
6/26/2019,0.117485457
6/27/2019,0.117761772
6/28/2019,0.117785412
7/1/2019,0.117472189
7/2/2019,0.117673623
7/3/2019,0.118084749
7/4/2019,0.118145209
7/5/2019,0.117903935
7/8/2019,0.117789925
7/9/2019,0.117522997
7/10/2019,0.117932207
7/11/2019,0.118001248
7/12/2019,0.118342143
7/15/2019,0.118181348
7/16/2019,0.117858514
7/17/2019,0.118175507
7/18/2019,0.11837307
7/19/2019,0.118069585
7/22/2019,0.117610642
7/23/2019,0.117478206
7/24/2019,0.117430411
7/25/2019,0.117246691
7/26/2019,0.117211756
7/29/2019,0.117219038
7/30/2019,0.117340959
7/31/2019,0.116988899
8/1/2019,0.116781229
8/2/2019,0.116729588
8/5/2019,0.116439855
8/6/2019,0.115969838
8/7/2019,0.115747991
8/8/2019,0.116402183
8/9/2019,0.116342821
8/12/2019,0.11616499
8/13/2019,0.116308866
8/14/2019,0.115517371
8/15/2019,0.115613662
8/16/2019,0.115914785
8/19/2019,0.11546063
8/20/2019,0.115519351
8/21/2019,0.115724059
8/22/2019,0.115565404
8/23/2019,0.115717689
8/26/2019,0.115815227
8/27/2019,0.11560738
8/28/2019,0.115377071
8/29/2019,0.115567738
8/30/2019,0.115358596
9/2/2019,0.115201019
9/3/2019,0.115157142
9/4/2019,0.116092131
9/5/2019,0.116043143
9/6/2019,0.116562342
9/9/2019,0.11656526
9/10/2019,0.116717253
9/11/2019,0.116391263
9/12/2019,0.116311619
9/13/2019,0.115721187
9/16/2019,0.116100472
9/17/2019,0.116024983
9/18/2019,0.115686661
9/19/2019,0.115827344
9/20/2019,0.115855473
9/23/2019,0.115802069
9/24/2019,0.11596511
9/25/2019,0.115750201
9/26/2019,0.115729957
9/27/2019,0.115934239
9/30/2019,0.115940016
10/1/2019,0.116093915
10/2/2019,0.115305951
10/3/2019,0.115224069
10/4/2019,0.115404536
10/7/2019,0.115428467
10/8/2019,0.115311181
10/9/2019,0.11526666
10/10/2019,0.115597748
10/11/2019,0.116367446
10/14/2019,0.116104519
10/15/2019,0.116320171
10/16/2019,0.116290336
10/17/2019,0.116830322
10/18/2019,0.116939224
10/21/2019,0.117250515
10/22/2019,0.117226529
10/23/2019,0.117457685
10/24/2019,0.117418087
10/25/2019,0.117547794
10/28/2019,0.117611766
10/29/2019,0.117327046
10/30/2019,0.116777269
10/31/2019,0.116758674
11/1/2019,0.116977936
