Date,num_farmers_tweets,num_tweets,Likes,Retweets,percent
1/25/2018 0:00,3,9,386902,77666,0.333333333
1/26/2018 0:00,0,6,512832,105516,0
1/27/2018 0:00,0,11,346496,77434,0
1/28/2018 0:00,0,4,773545,189470,0
1/29/2018 0:00,1,10,84209,16431,0.1
1/30/2018 0:00,0,0,0,0,0
1/31/2018 0:00,2,13,109076,22023,0.153846154
2/1/2018 0:00,4,26,446403,95767,0.153846154
2/2/2018 0:00,0,10,682308,181394,0
2/3/2018 0:00,2,14,298539,99367,0.142857143
2/4/2018 0:00,0,14,539543,126190,0
2/5/2018 0:00,0,19,946465,221341,0
2/6/2018 0:00,0,14,506326,124809,0
2/7/2018 0:00,0,18,845767,176035,0
2/8/2018 0:00,0,3,501714,115865,0
2/9/2018 0:00,0,16,458842,116888,0
2/10/2018 0:00,1,12,925283,245423,0.083333333
2/11/2018 0:00,4,15,424127,95311,0.266666667
2/12/2018 0:00,1,16,294353,61687,0.0625
2/13/2018 0:00,0,10,213186,45562,0
2/14/2018 0:00,0,8,407809,85537,0
2/15/2018 0:00,0,6,467088,117987,0
2/16/2018 0:00,1,14,358577,78785,0.071428571
2/17/2018 0:00,0,13,724984,173854,0
2/18/2018 0:00,0,15,1295776,335027,0
2/19/2018 0:00,0,5,389212,80599,0
2/20/2018 0:00,0,12,1004515,223349,0
2/21/2018 0:00,0,13,719616,161983,0
2/22/2018 0:00,0,12,1098311,239733,0
2/23/2018 0:00,0,4,850041,187313,0
2/24/2018 0:00,0,10,755466,227993,0
2/25/2018 0:00,8,23,127341,78405,0.347826087
2/26/2018 0:00,0,0,0,0,0
2/27/2018 0:00,3,19,602597,153226,0.157894737
2/28/2018 0:00,0,7,839764,194512,0
3/1/2018 0:00,0,5,390520,89162,0
3/2/2018 0:00,0,9,897595,206140,0
3/3/2018 0:00,0,6,424324,104398,0
3/4/2018 0:00,0,6,102246,19948,0
3/5/2018 0:00,0,4,615403,150621,0
3/6/2018 0:00,1,21,684378,189736,0.047619048
3/7/2018 0:00,0,3,438002,98875,0
3/8/2018 0:00,0,4,295728,61735,0
3/9/2018 0:00,0,14,431829,105923,0
3/10/2018 0:00,0,5,863178,186187,0
3/11/2018 0:00,0,14,526528,127646,0
3/12/2018 0:00,0,17,410696,89686,0
3/13/2018 0:00,4,12,751942,202419,0.333333333
3/14/2018 0:00,1,21,728634,159019,0.047619048
3/15/2018 0:00,1,5,397425,88293,0.2
3/16/2018 0:00,1,26,311132,65163,0.038461538
3/17/2018 0:00,1,15,518836,136343,0.066666667
3/18/2018 0:00,1,19,462799,122075,0.052631579
3/19/2018 0:00,0,16,161119,44794,0
3/20/2018 0:00,0,9,240132,55996,0
3/21/2018 0:00,0,12,582816,132148,0
3/22/2018 0:00,0,14,758965,212267,0
3/23/2018 0:00,0,6,507029,120938,0
3/24/2018 0:00,0,19,83062,15760,0
3/25/2018 0:00,0,7,546842,129175,0
3/26/2018 0:00,0,17,376902,83578,0
3/27/2018 0:00,0,12,172793,67748,0
3/28/2018 0:00,1,11,891753,223046,0.090909091
3/29/2018 0:00,6,15,385470,95370,0.4
3/30/2018 0:00,4,8,88218,25486,0.5
3/31/2018 0:00,3,21,270676,76844,0.142857143
4/1/2018 0:00,0,18,554641,132356,0
4/2/2018 0:00,0,18,682482,168142,0
4/3/2018 0:00,2,12,1119301,270461,0.166666667
4/4/2018 0:00,0,5,594466,141319,0
4/5/2018 0:00,1,17,401128,96520,0.058823529
