"Date","Price","Open","High","Low","Change %"
"Sep 24, 2018","5,869.82","5,862.91","5,870.16","5,804.57","0.09%"
"Sep 21, 2018","5,864.50","5,861.50","5,879.71","5,855.50","0.14%"
"Sep 20, 2018","5,856.50","5,846.50","5,874.26","5,840.50","-0.12%"
"Sep 19, 2018","5,863.50","5,853.50","5,879.06","5,848.50","0.06%"
"Sep 18, 2018","5,860.00","5,841.00","5,866.25","5,832.00","0.27%"
"Sep 17, 2018","5,844.50","5,852.50","5,864.64","5,844.50","-0.05%"
"Sep 14, 2018","5,847.50","5,816.50","5,854.50","5,814.48","0.04%"
"Sep 13, 2018","5,845.00","5,851.00","5,875.46","5,845.00","0.16%"
"Sep 12, 2018","5,835.50","5,841.34","5,842.01","5,794.19","-0.03%"
"Sep 11, 2018","5,837.50","5,810.50","5,843.46","5,792.50","0.27%"
"Sep 10, 2018","5,821.50","5,838.50","5,847.08","5,820.50","-0.15%"
"Sep 07, 2018","5,830.03","5,821.53","5,840.26","5,812.53","-0.17%"
"Sep 06, 2018","5,840.00","5,855.90","5,861.00","5,836.65","0.08%"
"Sep 05, 2018","5,835.50","5,832.50","5,863.05","5,832.50","0.15%"
"Sep 04, 2018","5,827.00","5,830.00","5,840.72","5,827.00","0.01%"
"Sep 03, 2018","5,826.38","5,822.27","5,835.31","5,822.27","-0.14%"
"Aug 31, 2018","5,834.38","5,856.26","5,864.36","5,828.64","-0.21%"
"Aug 30, 2018","5,846.50","5,826.50","5,852.82","5,810.50","0.26%"
"Aug 29, 2018","5,831.50","5,828.50","5,840.50","5,770.41","-0.01%"
"Aug 28, 2018","5,832.00","5,813.61","5,832.00","5,802.00","0.47%"
"Aug 27, 2018","5,805.00","5,817.11","5,819.26","5,802.00","0.06%"
"Aug 24, 2018","5,801.50","5,790.50","5,808.61","5,784.50","-0.02%"
"Aug 23, 2018","5,802.50","5,721.50","5,818.89","5,721.50","0.16%"
"Aug 22, 2018","5,793.50","5,808.50","5,823.36","5,793.50","-0.11%"
"Aug 21, 2018","5,800.00","5,798.00","5,805.78","5,768.14","0.37%"
"Aug 20, 2018","5,778.50","5,749.50","5,819.41","5,742.50","0.23%"
"Aug 17, 2018","5,765.50","5,727.50","5,784.55","5,727.50","0.14%"
"Aug 16, 2018","5,757.50","5,759.50","5,780.02","5,757.50","0.07%"
"Aug 15, 2018","5,753.50","5,753.50","5,753.50","5,753.50","-0.03%"
"Aug 14, 2018","5,755.50","5,759.50","5,779.66","5,728.14","-0.04%"
"Aug 13, 2018","5,758.00","5,752.00","5,763.65","5,716.41","0.10%"
"Aug 10, 2018","5,752.06","5,743.39","5,760.56","5,710.52","0.08%"
"Aug 09, 2018","5,747.50","5,734.50","5,768.00","5,710.50","0.09%"
"Aug 08, 2018","5,742.50","5,748.08","5,767.33","5,742.50","0.16%"
"Aug 07, 2018","5,733.50","5,724.50","5,747.14","5,679.57","-0.07%"
"Aug 06, 2018","5,737.50","5,717.50","5,753.80","5,717.50","-0.09%"
"Aug 03, 2018","5,742.50","5,717.50","5,754.28","5,717.50","-0.03%"
"Aug 02, 2018","5,744.50","5,762.83","5,762.83","5,744.50","-0.04%"
"Aug 01, 2018","5,747.00","5,744.91","5,760.73","5,744.00","0.35%"
