"Date","Price","Open","High","Low","Change %"
"Nov 09, 2018","35.3800","35.4460","35.6100","35.2600","-0.25%"
"Nov 08, 2018","35.4700","35.6630","35.6940","35.2940","-0.52%"
"Nov 07, 2018","35.6565","35.6085","35.9275","35.2775","0.13%"
"Nov 06, 2018","35.6100","35.5910","35.6350","35.5910","-0.05%"
"Nov 05, 2018","35.6290","35.4690","35.6650","35.0250","0.40%"
"Nov 02, 2018","35.4860","35.6720","35.7420","35.0920","-0.52%"
"Nov 01, 2018","35.6725","35.8615","35.8615","35.0075","-0.63%"
"Oct 31, 2018","35.9000","36.8730","36.8730","35.4330","-2.26%"
"Oct 30, 2018","36.7300","36.8720","37.1100","36.2600","-0.43%"
"Oct 29, 2018","36.8900","36.8100","36.9820","35.9800","0.14%"
"Oct 26, 2018","36.8385","37.0265","37.0745","36.3545","0.16%"
"Oct 25, 2018","36.7800","37.0220","37.0220","36.1500","-0.67%"
"Oct 24, 2018","37.0280","36.6070","37.0560","35.9060","1.22%"
"Oct 23, 2018","36.5825","36.4525","36.9815","36.0315","0.36%"
"Oct 22, 2018","36.4510","36.5200","37.3300","36.0000","-0.24%"
"Oct 19, 2018","36.5400","36.4800","36.7100","35.9100","-0.53%"
"Oct 18, 2018","36.7335","36.1895","36.7705","35.0005","1.47%"
"Oct 17, 2018","36.2020","35.8670","36.5030","35.7630","0.80%"
"Oct 16, 2018","35.9140","36.7300","36.7850","35.5600","-2.12%"
"Oct 15, 2018","36.6900","36.6530","36.6900","36.5800","0.00%"
"Oct 12, 2018","36.6900","36.5750","36.7600","35.7300","0.25%"
"Oct 11, 2018","36.6000","37.1550","37.3100","36.2600","-1.56%"
"Oct 10, 2018","37.1800","36.8800","37.4600","36.7600","-0.46%"
"Oct 09, 2018","37.3500","37.7700","37.9700","37.3500","-0.40%"
"Oct 08, 2018","37.5000","37.5000","37.8200","37.1000","-0.89%"
"Oct 05, 2018","37.8380","38.3350","38.4810","37.2810","-1.97%"
"Oct 04, 2018","38.6000","36.8600","38.7600","36.8600","2.25%"
"Oct 03, 2018","37.7500","37.0600","38.0100","36.9900","-0.85%"
"Oct 02, 2018","38.0750","39.1050","39.1650","37.2250","-3.55%"
"Oct 01, 2018","39.4750","41.2950","41.3250","39.1850","-4.40%"
"Sep 28, 2018","41.2900","39.5430","41.4800","39.4800","3.94%"
"Sep 27, 2018","39.7250","38.6750","40.1550","38.6750","3.11%"
"Sep 26, 2018","38.5250","38.5390","39.3250","37.5250","0.63%"
"Sep 25, 2018","38.2850","37.2960","39.3330","37.0030","2.64%"
"Sep 24, 2018","37.3000","37.0300","37.3900","35.9800","0.19%"
"Sep 21, 2018","37.2290","38.2160","38.2160","37.0290","-2.56%"
